Naam_onderwijsinstelling,Gemeentenaam,Onderdeel,Opleidingscode,Naam_opleiding_voluit,Internationale_naam,Opleidingsvorm,Datum_begin_opleiding,Datum_einde_instroom,Datum_einde_opleiding,Studielast,Propedeutisch_examen,Bekostiging,Bekostigingsduur,Beroepsvereisten,Indicatie_aanvullende_eisen,Code_stand_record,Bekostigingsniveau,Ind_Intensief_progr,Selectie_eisen_Intensief_progr,Verhoogd_coll_geld_Intensief_progr,Onderwijscapaciteit,Graad,Graadtoevoeging
Tilburg University,TILBURG,ONDERWIJS,68512,M Leraar Voorbereidend Hoger Onderwijs in Nederlands,M Academic Teacher in Dutch Language and Literature,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,JA,NEE,ACTUEEL,HOOG,NEE,NEE,NEE,,Master,of Arts
Tilburg University,TILBURG,ONDERWIJS,68505,M Leraar Voorbereidend Hoger Onderwijs in Filosofie,M Academic Teacher in Philosophy,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,JA,NEE,ACTUEEL,HOOG,NEE,NEE,NEE,,Master,of Arts
Tilburg University,TILBURG,ONDERWIJS,68509,M Leraar Voorbereidend Hoger Onderwijs in Maatschappijleer en Maatschappijwetenschappen,M Academic Teacher in Social Studies,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,JA,NEE,ACTUEEL,HOOG,NEE,NEE,NEE,,Master,of Arts
Tilburg University,TILBURG,ECONOMIE,60060,M Accountancy,M Accountancy,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Science
Universiteit van Amsterdam,AMSTERDAM,ECONOMIE,60900,M Accountancy and Control,M Accountancy and Control,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Science
Rijksuniversiteit Groningen,GRONINGEN,ECONOMIE,60643,M Accountancy and Controlling,M Accountancy and Controlling,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Science
Vrije Universiteit Amsterdam,AMSTERDAM,ECONOMIE,60047,M Accounting and Control,M Accounting and Control,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Science
Universiteit van Amsterdam,AMSTERDAM,ECONOMIE,66411,M Actuarial Science and Mathematical Finance,M Actuarial Science and Mathematical Finance,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Science
Universiteit Leiden,LEIDEN,TAAL EN CULTUUR,60837,M Afrika Studies,M African Studies,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Arts
Avans Hogeschool,S-HERTOGENBOSCH,TAAL EN CULTUUR,49123,M Animatie,M Animation,VOLTIJD,01-09-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Arts
Radboud Universiteit Nijmegen,NIJMEGEN,GEDRAG EN MAATSCHAPPIJ,60253,M Anthropology and Development Studies,M Anthropology and Development Studies,VOLTIJD,25-07-2019,00-00-0000,00-00-0000,60,NEE,BEKOSTIGD,12,NEE,NEE,ACTUEEL,LAAG,NEE,NEE,NEE,,Master,of Science
