Sector,Gebied,Studie,Type,Graad,ISAT,Actueel,Historisch,Totaal
SECTOROVERSTIJGEND,sectoroverstijgend,Ad ICT Service Management,hbo,ad,80083,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"B Global Project and Change
Management",hbo,ba,30017,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,B HBO-ICT,hbo,ba,30020,1,1,2
SECTOROVERSTIJGEND,sectoroverstijgend,B Delta Management,hbo,ba,39278,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,B Krijgswetenschappen,hbo,ba,50424,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,B Tourism (joint degree),hbo,ba,55001,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,M Crossover Creativity,hbo,ma,49124,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"M Master Military Strategic
Studies",hbo,ma,60469,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"M Master Care and
Technology (joint degree) (post-initiele master)",hbo,ma,70189,3,.,3
SECTOROVERSTIJGEND,sectoroverstijgend,B Liberal Arts and Sciences,wo,ba,50393,5,2,7
SECTOROVERSTIJGEND,sectoroverstijgend,B Tourism,wo,ba,50411,.,1,1
SECTOROVERSTIJGEND,sectoroverstijgend,B Future Planet Studies,wo,ba,50425,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"B Technology and Liberal Arts
& Sciences",wo,ba,50427,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,B Liberal Arts and Sciences: Global Challenges,wo,ba,50429,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"B Philosophy, Politics and
Economics",wo,ba,54999,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,B Tourism (joint degree),wo,ba,55001,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"B Liberal Arts and Sciences
(joint degree)",wo,ba,55002,2,.,2
SECTOROVERSTIJGEND,sectoroverstijgend,"B Molecular Science and
Technology (joint degree)",wo,ba,55009,2,.,2
SECTOROVERSTIJGEND,sectoroverstijgend,"B Life Science and Technology
(joint degree)",wo,ba,55010,2,.,2
SECTOROVERSTIJGEND,sectoroverstijgend,"B Global Sustainability
Science",wo,ba,56987,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"B Moleculaire
Levenswetenschappen",wo,ba,59304,.,1,1
SECTOROVERSTIJGEND,sectoroverstijgend,"B Politics, Psychology, Law
and Economics",wo,ba,59312,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,B International Studies,wo,ba,59316,1,.,1
SECTOROVERSTIJGEND,sectoroverstijgend,"M International Business
Taxation",wo,ma,60686,1,.,1
